protein,train_miss
1-Oct,0.05152027027027027
AAC1,0.37618243243243243
AAC3,0.2903716216216216
AAD10,0.5331081081081082
AAD14,0.46790540540540543
AAD16,0.009797297297297298
AAD6,0.5069256756756757
AAH1,0.05253378378378378
AAP1,0.004391891891891892
AAR2,0.6682432432432432
AAT1,0.03513513513513514
AAT2,0.0
ABD1,0.019425675675675675
ABF1,0.019763513513513513
ABF2,0.00016891891891891893
ABP1,0.00033783783783783786
ABP140,0.0035472972972972975
ABZ1,0.02956081081081081
ABZ2,0.05945945945945946
ACB1,0.00016891891891891893
ACC1,0.0
ACE2,0.6030405405405406
ACF2,0.034797297297297296
ACF4,0.4177364864864865
ACH1,0.0
ACK1,0.055236486486486484
ACL4,0.017736486486486486
ACM1,0.6876689189189189
ACO1,0.0
ACO2,0.0005067567567567568
ACP1,0.10929054054054053
ACS1,0.041385135135135136
ACS2,0.00016891891891891893
ACT1,0.0
ADA2,0.03935810810810811
ADD37,0.17331081081081082
ADD66,0.010641891891891892
ADE1,0.00016891891891891893
ADE12,0.00016891891891891893
ADE13,0.00016891891891891893
ADE16,0.0
ADE17,0.0
ADE2,0.00016891891891891893
ADE3,0.0
ADE4,0.0006756756756756757
ADE57,0.0
ADE6,0.00033783783783783786
ADE8,0.019932432432432434
ADF1,0.5564189189189189
ADH1,0.0
ADH2,0.0491554054054054
ADH3,0.00033783783783783786
ADH4,0.0
ADH5,0.030405405405405407
ADH6,0.0005067567567567568
ADH7,0.5451013513513514
ADI1,0.08108108108108109
ADK1,0.0
ADK2,0.22483108108108107
ADO1,0.0
ADP1,0.029391891891891894
ADR1,0.0375
ADY2,0.5111486486486486
ADY3,0.6756756756756757
AEP1,0.5396959459459459
AEP2,0.15962837837837837
AEP3,0.23513513513513515
AFG1,0.12483108108108108
AFG2,0.026182432432432432
AFG3,0.00945945945945946
AFT1,0.2974662162162162
AGC1,0.08108108108108109
AGE1,0.5685810810810811
AGE2,0.06807432432432432
AGP1,0.019594594594594596
AGP2,0.7780405405405405
AGX1,0.009966216216216217
AHA1,0.00033783783783783786
AHP1,0.0
AI1,0.5804054054054054
AI2,0.7013513513513514
AI4,0.7288851351351351
AI5_ALPHA,0.7520270270270271
AIF1,0.5055743243243244
AIM10,0.20506756756756755
AIM11,0.5486486486486486
AIM14,0.05506756756756757
AIM17,0.0
AIM18,0.0464527027027027
AIM19,0.1116554054054054
AIM2,0.0005067567567567568
AIM21,0.010641891891891892
AIM22,0.14847972972972973
AIM23,0.21114864864864866
AIM24,0.006925675675675676
AIM25,0.12618243243243243
AIM29,0.015540540540540541
AIM3,0.0597972972972973
AIM32,0.38885135135135135
AIM36,0.02787162162162162
AIM39,0.1462837837837838
AIM41,0.03125
AIM45,0.018074324324324324
AIM46,0.017398648648648648
AIM6,0.04628378378378378
AIM7,0.004222972972972973
AIM9,0.0018581081081081082
AIP1,0.00016891891891891893
AIR1,0.47010135135135134
AIR2,0.0402027027027027
AKL1,0.021114864864864864
AKR1,0.0125
AKR2,0.708277027027027
ALA1,0.1525337837837838
ALB1,0.008783783783783784
ALD2,0.0032094594594594596
ALD3,0.0013513513513513514
ALD4,0.0
ALD5,0.004054054054054054
ALD6,0.0
ALE1,0.036317567567567564
ALG1,0.00945945945945946
ALG11,0.02702702702702703
ALG12,0.014527027027027028
ALG13,0.28597972972972974
ALG14,0.6081081081081081
ALG2,0.03412162162162162
ALG3,0.5469594594594595
ALG5,0.029222972972972973
ALG6,0.15743243243243243
ALG8,0.2106418918918919
ALG9,0.009121621621621622
ALK1,0.672972972972973
ALK2,0.7726351351351352
ALO1,0.0013513513513513514
ALR1,0.21368243243243243
ALT1,0.002195945945945946
ALT2,0.3341216216216216
ALY1,0.0956081081081081
ALY2,0.1258445945945946
AMD1,0.0028716216216216218
AME1,0.17787162162162162
AMS1,0.00033783783783783786
ANB1,0.17787162162162162
ANP1,0.004054054054054054
ANR2,0.051351351351351354
ANT1,0.02314189189189189
ANY1,0.7320945945945946
AOS1,0.021621621621621623
APA1,0.0015202702702702704
APA2,0.36739864864864863
APC1,0.28547297297297297
APD1,0.008445945945945946
APE1,0.0
APE2,0.00016891891891891893
APE3,0.002364864864864865
APE4,0.0006756756756756757
APJ1,0.4868243243243243
APL1,0.0222972972972973
APL2,0.00793918918918919
APL3,0.021621621621621623
APL4,0.005574324324324325
APL5,0.015371621621621622
APL6,0.01418918918918919
APM1,0.016385135135135134
APM2,0.15608108108108107
APM3,0.02837837837837838
APM4,0.017905405405405406
APN1,0.006418918918918919
APN2,0.5192567567567568
APP1,0.7609797297297297
APQ12,0.5400337837837837
APS1,0.03327702702702703
APS2,0.020945945945945947
APS3,0.023817567567567567
APT1,0.0010135135135135136
APT2,0.13547297297297298
AQR1,0.4484797297297297
AQY3,0.6733108108108108
ARA1,0.0
ARA2,0.20219594594594595
ARB1,0.00016891891891891893
ARC1,0.0015202702702702704
ARC15,0.0005067567567567568
ARC18,0.004560810810810811
ARC19,0.0011824324324324325
ARC35,0.0013513513513513514
ARC40,0.0005067567567567568
ARD1,0.0018581081081081082
ARE1,0.24239864864864866
ARE2,0.0037162162162162164
ARF1,0.0
ARF2,0.00033783783783783786
ARF3,0.013175675675675676
ARG1,0.0
ARG2,0.2391891891891892
ARG3,0.002533783783783784
ARG4,0.00016891891891891893
"ARG5,6",0.0005067567567567568
ARG7,0.0013513513513513514
ARG8,0.0006756756756756757
ARG81,0.4035472972972973
ARG82,0.08429054054054054
ARH1,0.013175675675675676
ARI1,0.0016891891891891893
ARK1,0.11875
ARL1,0.00016891891891891893
ARL3,0.06199324324324324
ARO1,0.00033783783783783786
ARO10,0.04273648648648649
ARO2,0.002027027027027027
ARO3,0.0013513513513513514
ARO4,0.0
ARO7,0.004391891891891892
ARO8,0.00016891891891891893
ARO80,0.4114864864864865
ARO9,0.010304054054054055
ARP1,0.7474662162162162
ARP2,0.00033783783783783786
ARP3,0.00016891891891891893
ARP4,0.013344594594594595
ARP5,0.019932432432432434
ARP6,0.2684121621621622
ARP7,0.021621621621621623
ARP8,0.016554054054054055
ARP9,0.016891891891891893
ART10,0.5849662162162163
ART5,0.43665540540540543
ARX1,0.0011824324324324325
ASC1,0.0
ASF1,0.010641891891891892
ASG1,0.025
ASH1,0.44594594594594594
ASK1,0.17043918918918918
ASK10,0.027702702702702704
ASM4,0.05388513513513513
ASN1,0.00016891891891891893
ASN2,0.00016891891891891893
ASP1,0.0016891891891891893
AST1,0.01891891891891892
AST2,0.041891891891891894
ATC1,0.6783783783783783
ATE1,0.08277027027027027
ATF1,0.5342905405405406
ATF2,0.46841216216216214
ATG1,0.06993243243243243
ATG11,0.24864864864864866
ATG13,0.2125
ATG16,0.5766891891891892
ATG17,0.28057432432432433
ATG18,0.017398648648648648
ATG19,0.38885135135135135
ATG2,0.17297297297297298
ATG20,0.06283783783783783
ATG21,0.029222972972972973
ATG22,0.4650337837837838
ATG23,0.15912162162162163
ATG26,0.06638513513513514
ATG27,0.030912162162162162
ATG29,0.2535472972972973
ATG3,0.021452702702702702
ATG31,0.5025337837837838
ATG32,0.7672297297297297
ATG33,0.6576013513513513
